"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-3.31150242551986,0.434940023385679,7.6136990101355,0
"psi(nr_fw)",-0.934780976902779,0.351526995174815,2.65920111324,0.0078326
"psi(RHU1KM)",-0.586797978266863,0.189645450887593,3.09418430824724,0.0019735
"psi(FOR1_1km)",-1.15385423175129,0.430913034958709,2.67769628241079,0.007413
"psi(FOR2_1km)",-0.943496252276582,0.517357758683418,1.82368242563446,0.0682001
"psi(SHDI_1k)",0.48303822243242,0.276691811042635,1.74576262525525,0.0808522
"psi(WAT_100m)",0.0838565254476411,0.117774182179822,0.712011103754524,0.4764579
"p(Int)",-8.21082443989102,1.0030937442117,8.18550059480599,0
"p(DAY)",0.039112293926805,0.00604674333590503,6.46832381565787,0
"p(COUNT_TYPEtravelling)",0.834830312204012,0.412637170163585,2.02315829151565,0.0430568
"p(TIME)",0.071928503881263,0.039245665510355,1.83277574595555,0.0668359
"p(EFFORT_DISTANCE_KM)",-0.33011447194374,0.180662782571725,1.82724115750117,0.0676635
"p(EFFORT_HRS)",0.582605277533619,0.430657449522366,1.35282758531119,0.1761107
"psi(WET_100m)",-0.0488469655630493,0.100591486273582,0.485597413584275,0.6272526
