"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.43668181122522,0.280351493620054,5.12457341558623,3e-07
"psi(RUR_1km)",0.53091929830697,0.12898910447877,4.11600111848479,3.86e-05
"psi(SHR_1km)",1.31882866336452,0.327681443706728,4.02472794445101,5.7e-05
"psi(CR_CL_MN)",0.725584224232749,0.167578837791917,4.32980818934734,1.49e-05
"psi(PAR_1k)",0.623101186571779,0.139948393617115,4.45236397837135,8.5e-06
"psi(WAT_1km)",-0.166105763311605,0.0756526784609821,2.19563625096597,0.028118
"psi(RLU100)",-0.0641869929011117,0.0331245916675467,1.9377444270203,0.0526544
"psi(WAT_100m)",0.058511472727039,0.0807734309831338,0.724390087369901,0.4688263
"psi(FOR1_100m)",-0.211791062806172,0.235623156206232,0.898855045557576,0.3687299
"p(Int)",-5.65996501575448,63.9413454212657,0.0885180782241107,0.9294649
"p(DAY)",-0.00510405862728966,0.0013461676994807,3.79154738986726,0.0001497
"p(EFFORT_HRS)",0.959654170969909,0.115021835595225,8.34323470846908,0
"p(TIME)",-0.106790482733358,0.0117982463086691,9.05138610768704,0
"p(COUNT_TYPEtravelling)",-0.187599724561918,0.115587765282698,1.62300676116626,0.104588
"p(EFFORT_DISTANCE_KM)",0.0511372821114213,0.0471456857437402,1.08466514601945,0.27807
"p(NUMBER_OBSERVERS)",6.1341129489584,63.9410825188531,0.0959338301341668,0.9235731
"psi(nr_fw)",-0.0325156499018565,0.0682913644916205,0.476131208446512,0.6339809
"psi(RHU1KM)",0.00276039040977314,0.0216404103804983,0.127557211773614,0.8984994
"psi(SAV_100m)",-0.00181881259867056,0.0195715086823726,0.0929316501956084,0.9259579
