"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.50055248422701,0.34477650669805,4.35224690509779,1.35e-05
"psi(FOR1_1km)",1.15032588400664,0.335825010159884,3.42537288529815,0.000614
"psi(WET_1km)",0.473420134828651,0.150279929489593,3.15025523658791,0.0016313
"psi(RHU100)",-0.315823584835971,0.160875109261254,1.96316003318505,0.0496276
"psi(CR_CL_MN)",0.702785561217145,0.189208980509562,3.71433511942436,0.0002037
"psi(PAR_100)",0.385909883431136,0.1615502106853,2.38879220147158,0.0169039
"psi(SHDI_1k)",0.368022490006681,0.215506707835338,1.70770781895047,0.0876906
"psi(nr_rd)",0.489555078857196,0.572795232646037,0.854677292958058,0.3927298
"psi(RLU1KM)",-0.0807597705909067,0.101359905366474,0.79676249004884,0.425589
"psi(FOR2_100m)",-0.137217450642726,0.211616330910453,0.64842562033074,0.5167097
"p(Int)",-21.7793834831059,271.762261957627,0.0801413092686934,0.9361249
"p(COUNT_TYPEtravelling)",1.57211227394482,0.289207170680195,5.43593808634595,1e-07
"p(DAY)",0.113692315417759,0.00694393721136398,16.3728893215938,0
"p(EFFORT_HRS)",0.739912636620376,0.28241581722432,2.61994049728692,0.0087945
"p(TIME)",-0.0174454642099911,0.0226400134375616,0.770558915881544,0.4409684
"p(EFFORT_DISTANCE_KM)",0.0356472897697511,0.104489618826925,0.34115628107321,0.7329859
"p(NUMBER_OBSERVERS)",2.96384109150796,271.761134424944,0.0109060521026288,0.9912984
"psi(nr_urb)",0.513658797029067,0.852358859173915,0.602632085653327,0.5467535
"psi(SAV_100m)",-0.0248136836747571,0.0720015882372688,0.34462689340946,0.7303749
"psi(CLT_1km)",0.0391181648042466,0.108104044519396,0.361856625976914,0.7174592
"psi(FOR2_1km)",-0.0518055590746721,0.154302906054454,0.335739360970881,0.7370674
"psi(PAR_1k)",0.0144341738125057,0.0714231424350475,0.202093793697641,0.8398434
"psi(RLU100)",-0.00702718578640852,0.0239431911532738,0.293494118700534,0.7691445
"psi(RUR_100m)",0.0045120221524618,0.0340103509151141,0.132666145189836,0.8944574
"psi(RHU1KM)",-0.00541473851429856,0.0441981957728942,0.122510397078681,0.9024948
