"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.940902773669149,0.303601642304933,3.0991359813664,0.0019409
"psi(CR_CL_MN)",0.565703902973217,0.208084202083085,2.71862975329257,0.0065553
"psi(nr_urb)",2.34475832048784,0.707768996991848,3.31288645088087,0.0009234
"psi(WET_1km)",-0.398877302813863,0.188206213336859,2.11936309509579,0.0340598
"psi(CLT_1km)",-0.64881957313069,0.302773846454742,2.14291815732398,0.0321197
"psi(PAR_1k)",0.237835806767039,0.155445796115117,1.53002405154081,0.1260108
"psi(RUR_100m)",-0.0900267824591956,0.1411022064649,0.638025334363502,0.5234572
"psi(WAT_1km)",-0.06207341754567,0.105558370934829,0.588048271264,0.5564999
"p(Int)",-8.41713603604821,342.1627956519,0.0245997991102791,0.9803742
"p(EFFORT_HRS)",1.0883450656676,0.285469557173008,3.81247330344234,0.0001376
"p(TIME)",-0.129936845751363,0.0296552171730377,4.38158469699223,1.18e-05
"p(DAY)",0.00128427757687889,0.00336146019208506,0.382059433547024,0.7024173
"p(COUNT_TYPEtravelling)",0.136251946425969,0.290107401285918,0.469660359653096,0.6385977
"p(EFFORT_DISTANCE_KM)",0.00208322412064008,0.116862276657216,0.0178263181261705,0.9857774
"p(NUMBER_OBSERVERS)",7.09316878289288,342.162505654317,0.0207304092811941,0.9834607
"psi(FOR1_1km)",0.225118261225841,0.304449583919698,0.739427061543361,0.4596477
"psi(RHU1KM)",0.0601428327186579,0.126173321123047,0.476668381107328,0.6335983
"psi(FOR2_100m)",0.0278342302558036,0.109254752720289,0.254764479922113,0.798905
"psi(SHDI_100)",-0.0807146611062054,0.14984476639293,0.538655189962068,0.5901248
"psi(FOR1_100m)",0.104855884844474,0.238010085215642,0.440552276385566,0.6595372
"psi(RLU1KM)",0.0240479398050627,0.0637790994392248,0.377050476041576,0.7061361
"psi(RLU100)",-0.00837811304879493,0.0305181368287309,0.274528982415055,0.7836781
"psi(nr_rd)",-0.0296208465357225,0.165348766489647,0.179141623881283,0.8578265
"psi(CLT_100m)",0.0135012001793643,0.0931231748767247,0.144982172238404,0.8847249
"psi(SAV_100m)",0.00435053556010693,0.0305753116500878,0.142289164862672,0.8868516
"psi(RUR_1km)",-0.00602527035566882,0.0460074965192659,0.130962795446731,0.8958047
