"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.784959326254436,0.140299619754571,5.59487850093666,0
"psi(WET_1km)",0.910128902857992,0.157998843141096,5.76035168843123,0
"psi(CLT_1km)",0.796137863116059,0.139526170219051,5.70601100758483,0
"psi(WAT_100m)",0.375446561354477,0.0955792396741917,3.92811830931372,8.56e-05
"psi(RUR_1km)",0.363519415035128,0.101233889433977,3.59088658025144,0.0003296
"psi(FOR2_1km)",-0.322861021756787,0.13300249254474,2.42748098610394,0.0152041
"psi(WET_100m)",0.244733004246543,0.0861576798126413,2.8405245449824,0.0045039
"psi(HRB_100m)",0.193173325254978,0.173082429918159,1.1160770353543,0.2643892
"psi(nr_fw)",-0.187528813547728,0.120861771561755,1.55159742509574,0.1207586
"psi(CR_CL_MN)",-0.258261106300916,0.155184508633947,1.66421963489995,0.0960685
"psi(BAR_100m)",-0.0548172663153439,0.0752533570086618,0.728436158788695,0.4663466
"p(Int)",-6.32184543320804,70.0555020028807,0.0902405271886865,0.9280961
"p(DAY)",0.0157838475488188,0.0016154625954497,9.77048159039856,0
"p(EFFORT_HRS)",0.944132679940269,0.130438502940313,7.23814409593684,0
"p(COUNT_TYPEtravelling)",0.166193227055445,0.132740753777688,1.25201358532122,0.2105649
"p(TIME)",-0.0247085250208489,0.0131973740240092,1.87223041310326,0.0611747
"p(EFFORT_DISTANCE_KM)",0.03292370383926,0.0459449874048461,0.716589680374737,0.4736273
"p(NUMBER_OBSERVERS)",3.47252575602557,70.0551574340447,0.0495684526766622,0.9604663
"psi(HRB_1km)",0.146234942775883,0.226881075505947,0.644544470929438,0.5192224
"psi(FOR1_100m)",-0.0315717264614594,0.103432763701474,0.305239126671516,0.760184
