"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.40671380469519,0.36211568300853,1.12315987343086,0.2613696
"psi(nr_urb)",3.90860734397185,1.07446902981834,3.63771056726753,0.0002751
"psi(RUR_1km)",-0.688988669405071,0.143470673365044,4.80229619925198,1.6e-06
"psi(WAT_1km)",-0.261220299006734,0.0932864160844994,2.80019653418906,0.0051072
"psi(RHU1KM)",-0.310484918735404,0.108760397943549,2.85476078247304,0.0043069
"psi(CR_CL_MN)",-0.713579762895258,0.151523389524932,4.70937038256951,2.5e-06
"psi(SAV_1km)",0.394404943841933,0.160647103408586,2.45510149559817,0.0140845
"psi(WET_100m)",0.24429142682068,0.0800437552883078,3.05197358545676,0.0022734
"psi(PAR_1k)",-0.403325747647485,0.129124752269976,3.12353550002718,0.0017869
"psi(BAR_1km)",-0.221015875513837,0.0893877899883539,2.47255106701523,0.0134153
"psi(SHR_1km)",0.742074717452629,0.348698296370393,2.12812831372249,0.0333264
"psi(HRB_1km)",-0.45374742291046,0.299341397433966,1.51581915097645,0.1295651
"psi(nr_fw)",-0.0991454975121283,0.127933645359974,0.774975943452223,0.4383539
"psi(WAT_100m)",-0.0363589508458188,0.0796689690544617,0.456375314973184,0.6481201
"p(Int)",-12.863020739133,268.534287603255,0.0479008504051348,0.9617953
"p(COUNT_TYPEtravelling)",0.510316850646789,0.180549843042351,2.82645967477847,0.0047066
"p(DAY)",0.013264409898704,0.00204211343946067,6.49543244875129,0
"p(EFFORT_HRS)",0.647957691490723,0.174185925365527,3.71991990817279,0.0001993
"p(TIME)",0.00971231196029814,0.0182288618645578,0.532798593376896,0.594173
"p(EFFORT_DISTANCE_KM)",-0.100656123360209,0.0653640155372984,1.53993175805994,0.123577
"p(NUMBER_OBSERVERS)",9.35335769794756,268.53419612563,0.0348311605482519,0.9722144
"psi(SHDI_1k)",0.0399718179334068,0.117948380588669,0.338892469179411,0.7346907
"psi(RLU100)",0.00839593694222123,0.0234089803859896,0.358663077322506,0.7198472
"psi(RLU1KM)",0.00294114578784911,0.0202938057689878,0.144928251572391,0.8847675
"psi(SHR_100m)",0.00354722911635716,0.0433553373988042,0.0818175876185199,0.9347918
