"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.67815831548329,0.284024000561681,5.9085088308192,0
"psi(BAR_1km)",-0.247258604696237,0.0712686672231098,3.46938724028867,0.0005216
"psi(CLT_1km)",-0.238099431513271,0.1075007401215,2.21486318367822,0.0267695
"psi(FOR1_1km)",1.18765962110604,0.297727087795156,3.98908822808618,6.63e-05
"psi(RLU1KM)",0.259176415424699,0.0835549388483708,3.10186829165219,0.001923
"psi(WAT_1km)",-0.0828374884917785,0.0844217130857941,0.981234394137375,0.3264772
"psi(SHDI_1k)",-0.307500869476749,0.147888291305305,2.0792779926163,0.0375918
"psi(RUR_100m)",0.15981726211772,0.114930330782213,1.39055774946445,0.1643596
"psi(CR_CL_MN)",0.066810008835646,0.131999240323893,0.506139343466756,0.6127588
"psi(SHDI_100)",-0.0140554280692534,0.0555636420994283,0.252960884819284,0.8002984
"p(Int)",-6.76170762137096,86.6368059062174,0.0780465940617706,0.937791
"p(DAY)",-0.01130755535511,0.00112380620725471,10.0618374254514,0
"p(EFFORT_HRS)",0.873777660897447,0.0969694489216507,9.01085517773171,0
"p(TIME)",-0.0734328802257261,0.0095177733786268,7.71534237100325,0
"p(NUMBER_OBSERVERS)",8.11288614190328,86.6367323715269,0.0936425684559818,0.9253931
"p(COUNT_TYPEtravelling)",0.037061482477065,0.0927713179524167,0.399492896027134,0.6895301
"p(EFFORT_DISTANCE_KM)",0.00363267664294959,0.0390465027649045,0.093034622455732,0.9258761
"psi(WAT_100m)",-0.109773534106086,0.0972567573718051,1.12869827323597,0.2590251
"psi(RHU100)",-0.0457810003578042,0.0845701232392648,0.5413377514927,0.5882748
"psi(PAR_1k)",0.0569635382098741,0.111073989837533,0.512843180416895,0.608061
"psi(nr_urb)",0.0919344332485679,0.35051079755104,0.262287021943113,0.7931002
"psi(RHU1KM)",0.0470219903578727,0.12416513168556,0.378705275140793,0.7049067
"psi(SAV_1km)",0.100335264520449,0.174753543921576,0.574152960042268,0.5658643
"psi(RUR_1km)",0.0174543736082106,0.0693683354581099,0.25161874640557,0.8013358
"psi(nr_rd)",0.0170858126897538,0.107841073233465,0.158435113611719,0.8741139
