"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.251715501991339,0.200727899440998,1.25401353121482,0.2098371
"psi(WET_100m)",0.301275714361932,0.0973056114797996,3.09618026936171,0.0019603
"psi(BAR_1km)",-0.161361536349287,0.0739925906357963,2.18077965594603,0.0291997
"psi(SAV_100m)",0.190857994929347,0.154455921813612,1.23567936203613,0.2165778
"psi(nr_fw)",-0.128782341253325,0.111968633086906,1.15016444965769,0.2500761
"psi(CLT_1km)",-0.158141616288269,0.197078885020507,0.802428003749937,0.4223054
"psi(HRB_1km)",-0.217757800663866,0.240075683293071,0.907038137627789,0.3643866
"psi(CLT_100m)",0.111224828162681,0.18006837917031,0.617681064688673,0.5367856
"psi(RUR_100m)",0.0931316934946963,0.111198818335479,0.837524129201848,0.402298
"psi(nr_rd)",0.333804833110472,0.406852241327866,0.820457156684243,0.4119555
"psi(RLU100)",0.0332805623715542,0.0425704417544117,0.781776298295173,0.4343461
"psi(FOR2_100m)",-0.0944154179772968,0.127021259610403,0.743304060020233,0.4572976
"p(Int)",-5.23773544299927,50.3829692258417,0.103958451109166,0.9172023
"p(COUNT_TYPEtravelling)",0.964217897258683,0.143176434588114,6.73447344901778,0
"p(DAY)",-0.00577815399340082,0.00159123205951821,3.63124533523433,0.0002821
"p(EFFORT_HRS)",1.12026536139708,0.129277086866812,8.66561421322279,0
"p(TIME)",-0.0329006254493714,0.01298152031451,2.53442005653197,0.0112634
"p(EFFORT_DISTANCE_KM)",-0.0461028225770635,0.0497973752784656,0.92580828445792,0.3545456
"p(NUMBER_OBSERVERS)",3.54748482016062,50.3830862567725,0.0704102325546555,0.9438671
"psi(SHDI_1k)",-0.0306324284764678,0.0829581334982021,0.369251659659528,0.7119402
"psi(PAR_1k)",-0.00829455626113122,0.0396892502099136,0.208987476892657,0.834458
"psi(WAT_100m)",0.00625939965304159,0.0340967188531219,0.183577771222068,0.8543447
"psi(RHU100)",-0.0325241326408306,0.0717516059655916,0.453287870050289,0.6503415
"psi(SAV_1km)",0.0485379370338837,0.105527400902659,0.45995577090595,0.645548
"psi(FOR1_100m)",-0.00479479069252167,0.0395239739469285,0.121313476700495,0.9034427
"psi(RLU1KM)",0.00274756923198461,0.0194340642388325,0.141379034164893,0.8875705
"psi(RHU1KM)",0.0024559413417909,0.023056602353318,0.106517920730739,0.9151714
