"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.44323934777761,0.776826614199965,1.85786547653748,0.0631881
"psi(CR_CL_MN)",0.690551089770772,0.217801945179377,3.17054601694236,0.0015215
"psi(FOR1_1km)",1.40555918670954,0.392307018940111,3.58280407652893,0.0003399
"psi(SHDI_1k)",-0.387224658469934,0.188697426531519,2.05209294894785,0.0401606
"psi(RUR_1km)",0.427779634197524,0.221831545460059,1.92839856617483,0.0538056
"psi(SAV_100m)",0.446379366777602,0.242593040451492,1.84003368747447,0.0657633
"psi(FOR1_100m)",0.787887174645874,1.06083869155384,0.742702147761816,0.457662
"psi(SHDI_100)",-0.163755199632299,0.212294649446486,0.771358110339832,0.4404947
"psi(HRB_100m)",0.114167825680377,0.185939622183752,0.614004827693756,0.5392121
"psi(WAT_100m)",0.0443157182080247,0.0950729307108619,0.466123405228758,0.6411272
"psi(nr_rd)",-0.183955195344707,0.415914665847018,0.442290715981557,0.6582788
"p(Int)",0.882085387634582,20.3829675616226,0.0432756116089488,0.9654818
"p(DAY)",-0.0415939058170314,0.00289253110301768,14.379760955254,0
"p(EFFORT_HRS)",1.23664934089343,0.171018655801336,7.23107859256,0
"p(TIME)",-0.182072114445325,0.0210436002006075,8.65213712053268,0
"p(EFFORT_DISTANCE_KM)",-0.097810514012585,0.0704774812538304,1.3878264698523,0.1651899
"p(COUNT_TYPEtravelling)",-0.182356170105911,0.182676028356755,0.998249040918388,0.3181586
"p(NUMBER_OBSERVERS)",2.79779300245241,20.3797256962066,0.137283153078609,0.890807
"psi(BAR_100m)",-0.0741978988683191,0.122500236147161,0.60569596599948,0.5447167
"psi(CLT_1km)",-0.0699713273057476,0.151489570304286,0.46188874366203,0.6441611
"psi(FOR2_1km)",0.0311527954362902,0.118783534302179,0.262265267819352,0.7931169
"psi(WET_1km)",0.0141172491130143,0.0570682835344456,0.247374692888622,0.8046183
"psi(RHU1KM)",0.00557135698223077,0.0393441706987471,0.141605652966735,0.8873915
