"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.373391463286465,0.177989648248282,2.09782685095041,0.0359204
"psi(WET_1km)",0.327607505164198,0.141256649329131,2.31923599150978,0.0203822
"psi(CR_CL_MN)",-0.746171590850846,0.150279698626052,4.96521883975547,7e-07
"psi(RHU100)",-0.19123626479347,0.0804528293191987,2.37699862654593,0.0174542
"psi(WET_100m)",0.468234700550755,0.114967884397325,4.07274347097274,4.65e-05
"psi(SAV_1km)",0.244262865330252,0.140499584879213,1.73853086854487,0.0821173
"psi(WAT_100m)",0.341807983445445,0.127173742958527,2.68772449008529,0.0071941
"psi(RUR_1km)",0.284345155457019,0.109162950501569,2.60477711669155,0.0091934
"psi(CLT_1km)",0.372750175092362,0.133867878311901,2.78446315720254,0.0053616
"psi(FOR2_1km)",-0.369133815422679,0.124351567893169,2.96846932995492,0.0029929
"psi(FOR2_100m)",0.41234012875916,0.13415939009912,3.07350926725675,0.0021156
"psi(FOR1_1km)",0.430246112626379,0.173826013974372,2.47515376317501,0.0133179
"psi(SHDI_100)",-0.302263240770121,0.123529640552445,2.44688836961195,0.0144095
"psi(RUR_100m)",0.228424099920757,0.0933465594733059,2.44705430183615,0.0144029
"psi(HRB_100m)",0.233693855402123,0.184548729097965,1.26629891489564,0.2054061
"psi(RLU100)",0.0230961383176028,0.0310471198423829,0.743905986605361,0.4569334
"psi(SAV_100m)",0.118671100974776,0.122112673990552,0.971816414272917,0.3311419
"psi(nr_rd)",-0.257523392490663,0.337117302103278,0.763898473569799,0.4449277
"p(Int)",-11.7992010318544,197.518287105239,0.0597372587864114,0.9523649
"p(COUNT_TYPEtravelling)",0.521936816059568,0.109684238923765,4.75853979733894,1.9e-06
"p(DAY)",0.0232196822593151,0.00139753619250274,16.6147269629796,0
"p(EFFORT_HRS)",0.672225967547587,0.110842426478682,6.06469913103963,0
"p(TIME)",-0.045947599656841,0.010811411665479,4.24991676189265,2.14e-05
"p(NUMBER_OBSERVERS)",8.39557073958492,197.518207178858,0.0425053004454546,0.9660959
"p(EFFORT_DISTANCE_KM)",-0.0172167611429527,0.0412731478304963,0.417141944531582,0.6765746
"psi(RHU1KM)",0.028842038297397,0.0701774509450308,0.410987260280921,0.6810819
"psi(RLU1KM)",0.00914140394728768,0.0295944321155037,0.30888931781525,0.7574057
"psi(HRB_1km)",0.0354820177522606,0.114270603266745,0.310508711233755,0.7561741
"psi(SHDI_1k)",-0.0102220456170429,0.0559900183879705,0.182569070547745,0.8551362
"psi(SHR_1km)",-0.00188719418569176,0.0277887868301584,0.0679120753714818,0.9458556
