"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.883498154039743,0.572623092707489,1.54289647988587,0.1228559
"psi(CR_CL_MN)",0.86115585606026,0.343235453459091,2.50893620510825,0.0121095
"psi(SHR_1km)",0.644951989356305,0.471628195061028,1.3675009172699,0.1714683
"psi(RUR_100m)",0.400907664067774,0.181890842732761,2.20411131228194,0.0275165
"psi(BAR_1km)",0.312083856497424,0.194477110285219,1.60473310221303,0.1085526
"psi(nr_rd)",1.12857654817834,0.739137910997118,1.52688223860127,0.1267903
"psi(WAT_100m)",-0.282364293710068,0.199642162798701,1.41435200737018,0.1572586
"psi(FOR1_100m)",-0.424834145889078,0.459331861999263,0.924895878200062,0.3550201
"psi(PAR_1k)",0.235073942375792,0.26773294714652,0.878016489495202,0.3799348
"psi(FOR1_1km)",0.218614775563795,0.336915801430144,0.648870651467865,0.516422
"p(Int)",-8.0453147341191,0.589341705995239,13.6513582057335,0
"p(COUNT_TYPEtravelling)",1.66287098558856,0.257103517573012,6.46770997645468,0
"p(DAY)",0.0422888350384214,0.00357602961088706,11.8256389459626,0
"p(EFFORT_HRS)",0.921102933243483,0.241328367301737,3.81680340169796,0.0001352
"p(TIME)",-0.118609298216445,0.0224121020279924,5.29219874460254,1e-07
"p(EFFORT_DISTANCE_KM)",-0.138852944440021,0.096618714607877,1.43712266307361,0.1506831
"psi(WET_100m)",0.0452537165552521,0.11477987427298,0.394265256360411,0.6933852
"psi(FOR2_100m)",-0.0324245328052963,0.123888724218996,0.261723034196235,0.793535
"psi(SHDI_1k)",0.0647136071071634,0.171415592122847,0.377524624835679,0.7057838
"psi(nr_urb)",0.221816442085567,0.631624755739413,0.351183895295392,0.7254504
"psi(SHDI_100)",0.00854297901606897,0.0578100215057186,0.147776783221295,0.8825189
"psi(BAR_100m)",0.0137990859424471,0.0767793083011103,0.179724020022821,0.8573692
"psi(WAT_1km)",-0.00357379488945868,0.0323404373419729,0.110505459517099,0.9120085
