"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.476280132701521,0.128245421359564,3.7138178318754,0.0002042
"psi(CR_CL_MN)",-0.561217243900845,0.111207964632564,5.04655620445109,4e-07
"psi(RHU1KM)",-0.352150318932151,0.0690077675070054,5.10305334680479,3e-07
"psi(nr_fw)",0.402658755279139,0.112203015360133,3.58866251487756,0.0003324
"psi(FOR2_100m)",-0.455320372671524,0.131319955905085,3.46725956107249,0.0005258
"psi(FOR1_1km)",0.290037840530707,0.202320463519083,1.43355662341763,0.1516988
"psi(PAR_1k)",-0.105122268306064,0.100338471077472,1.04767660078155,0.2947876
"psi(SAV_1km)",-0.0740307096762464,0.105333523932753,0.702821921380973,0.4821667
"p(Int)",-10.7611540059323,107.016336983457,0.100556179638216,0.9199028
"p(COUNT_TYPEtravelling)",0.569860185970802,0.114263618031711,4.98724087147889,6e-07
"p(DAY)",0.0201382370598338,0.00145943950672395,13.7986103343459,0
"p(EFFORT_HRS)",0.475347403504458,0.115875851838612,4.10221280760469,4.09e-05
"p(TIME)",-0.0522905909506951,0.0113821253819941,4.59409725299776,4.3e-06
"p(EFFORT_DISTANCE_KM)",0.0780698228433906,0.0451234134947288,1.73014000486711,0.0836053
"p(NUMBER_OBSERVERS)",7.77364198161443,107.016182242142,0.0726398738839823,0.9420927
"psi(SAV_100m)",0.0190548692511502,0.0555938709342337,0.342751258923698,0.7317856
"psi(HRB_1km)",0.0339833246647865,0.124246644182943,0.273515030432122,0.7844573
