"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-3.09597624867446,0.322751290033028,9.59245197240775,0
"psi(FOR1_1km)",-2.48870021669414,0.408702614329942,6.08926913955348,0
"psi(WAT_1km)",-0.275688295850026,0.101759596347296,2.70921176720402,0.0067443
"psi(SHR_1km)",0.735867866773104,0.287389905384789,2.56052092639734,0.0104515
"psi(BAR_1km)",-0.492312267072625,0.12038076271798,4.08962575046962,4.32e-05
"psi(SAV_1km)",-0.661269097147738,0.249257380844594,2.65295693514497,0.007979
"psi(RLU100)",-0.062334981696659,0.0355615259842112,1.7528770200788,0.0796231
"psi(FOR2_1km)",-0.52103458346278,0.263992250763633,1.97367378002808,0.0484188
"psi(SHDI_1k)",0.592943036721728,0.16043188759658,3.69591759845609,0.0002191
"psi(RUR_1km)",-0.286187623692178,0.120193159345243,2.38106415748781,0.0172627
"psi(RHU1KM)",0.412274159526785,0.127982784471393,3.22132512766932,0.001276
"psi(RHU100)",-0.190904139118369,0.101723389198199,1.87669857073292,0.0605594
"psi(CR_CL_MN)",-0.250491912959109,0.161713599698413,1.54898483137017,0.1213854
"psi(RLU1KM)",-0.12365991593294,0.0805343989172559,1.53549188415739,0.124663
"psi(WAT_100m)",-0.11507122589365,0.102231685621759,1.12559257136183,0.260338
"psi(WET_1km)",0.111025662447878,0.110051345059241,1.00885329832282,0.313045
"psi(WET_100m)",-0.102352379999481,0.0997060277658327,1.02654154711552,0.3046364
"psi(HRB_100m)",-0.0805322441697842,0.152910537999735,0.526662486596728,0.598428
"psi(nr_rd)",0.252978793989104,0.34054295461304,0.742868970161384,0.457561
"p(Int)",-0.357059713975275,0.325722262913815,1.09620911626097,0.2729873
"p(EFFORT_HRS)",1.06583444065534,0.172717085903265,6.17098438803152,0
"p(TIME)",-0.0823956974192934,0.0173335754842378,4.75353152003865,2e-06
"p(EFFORT_DISTANCE_KM)",0.0801459692900021,0.068508268168179,1.16987294282865,0.2420521
"p(COUNT_TYPEtravelling)",0.113032062596586,0.167864227596204,0.673354080349292,0.5007221
"p(DAY)",0.00126456809236774,0.00201114498573559,0.62878017315356,0.529493
