"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.172881837984201,0.251994812339738,0.686053162678295,0.4926796
"psi(CR_CL_MN)",0.633339937947152,0.152167963788898,4.16211088180022,3.15e-05
"psi(SHR_1km)",0.626015550118469,0.304766124557852,2.05408508254216,0.0399675
"psi(PAR_1k)",0.165326377392717,0.175437551086352,0.942365966516148,0.3460053
"psi(FOR1_1km)",0.630571659164501,0.246597532997657,2.55708827050793,0.0105552
"psi(HRB_1km)",0.585969546945251,0.468442064126885,1.25089011388724,0.2109746
"psi(RHU1KM)",0.233990201500741,0.148017929930973,1.58082336112834,0.1139184
"psi(WAT_1km)",0.130752908133682,0.12095684945384,1.08098804428252,0.2797024
"psi(CLT_100m)",0.178731423477516,0.19436352681218,0.9195728561266,0.357796
"psi(PAR_100)",0.120672922002135,0.151090604438151,0.798679192864916,0.4244765
"psi(HRB_100m)",-0.127812197428066,0.198955309853519,0.642416618697776,0.5206027
"p(Int)",-9.1083663426303,0.690557148150121,13.1898806160069,0
"p(COUNT_TYPEtravelling)",0.720605693889707,0.254833244238992,2.82775387505523,0.0046876
"p(DAY)",0.0549276098102763,0.00428293668832856,12.8247540898654,0
"p(TIME)",-0.0594756509853905,0.0216487675941955,2.74729962001796,0.0060088
"p(EFFORT_HRS)",0.571210796544954,0.254078712857312,2.24816471290036,0.0245657
"p(EFFORT_DISTANCE_KM)",0.131403563184032,0.0967435232308912,1.35826729062182,0.1743789
"psi(nr_urb)",-0.303207256720527,0.405559640794208,0.747626800651948,0.4546853
"psi(FOR2_1km)",-0.044000917519536,0.117817334810155,0.373467262609844,0.7088007
"psi(SHDI_1k)",0.015638103572526,0.0719695462515481,0.217287788891536,0.8279841
"psi(RUR_1km)",-0.00174412278892239,0.0233276789534475,0.0747662376699776,0.9404007
