"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.03204740006746,0.289791209708265,3.56134818963772,0.000369
"psi(CLT_1km)",0.525225726254512,0.181083222770212,2.90046597481316,0.0037261
"psi(RUR_100m)",0.381188856914437,0.148919552055968,2.55969650493695,0.0104764
"psi(nr_fw)",-0.41371913773192,0.1710416730356,2.4188206908255,0.0155709
"psi(HRB_1km)",0.674901855867099,0.46369766566957,1.45547822608198,0.1455369
"psi(FOR2_1km)",-0.581546501918502,0.344704100048422,1.68708901877526,0.0915862
"psi(SAV_1km)",0.228906543617925,0.213476364784507,1.07228050210146,0.2835941
"psi(FOR1_1km)",-0.423027043290257,0.347355917393878,1.21784896156116,0.2232814
"psi(RUR_1km)",-0.279824793281033,0.238571906773323,1.17291594415141,0.2408295
"psi(PAR_1k)",0.148156339074539,0.223183344435509,0.663832417464962,0.5067976
"psi(FOR2_100m)",0.192597880820596,0.266008752487727,0.724028360042336,0.4690483
"psi(SHDI_1k)",0.14223853858883,0.200236377990787,0.710353133711669,0.4774852
"p(Int)",-7.56444868666662,NA,NA,NA
"p(COUNT_TYPEtravelling)",1.38460650266654,0.398676814252333,3.47300483290756,0.0005147
"p(DAY)",0.0906406350383916,0.00824232632956391,10.9969723854876,0
"p(TIME)",-0.116175601879663,0.031456804259775,3.69317877684801,0.0002215
"p(EFFORT_DISTANCE_KM)",0.0711069782094014,0.142453957885401,0.499157617414915,0.6176683
"p(EFFORT_HRS)",0.554522764603032,0.362865292955966,1.52817801913705,0.1264683
"p(NUMBER_OBSERVERS)",-7.14262468339717,NA,NA,NA
"psi(CR_CL_MN)",0.0237797106393285,0.0998049342516637,0.238261873700219,0.811678
"psi(FOR1_100m)",-0.0163968023409743,0.0998094575378096,0.16428104856459,0.8695099
"psi(SHDI_100)",0.00155760803509244,0.0225480271134167,0.0690795707871761,0.9449263
