"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.52381083143127,1.09467152112275,1.39202564607543,0.1639146
"psi(WET_1km)",1.66168032679492,0.729715818310823,2.27716089619853,0.0227766
"psi(SHR_100m)",1.59806871238432,0.88014428872951,1.81568946461169,0.069418
"psi(nr_urb)",2.3607521622896,1.35456095933964,1.74281721764702,0.0813655
"psi(FOR2_100m)",-1.2548124301253,0.750339474939859,1.67232628967825,0.09446
"psi(HRB_1km)",0.770675533438926,0.536880959218648,1.43546818006087,0.1511537
"psi(RUR_1km)",0.516048117548777,0.468055752996854,1.102535572407,0.2702289
"psi(SAV_100m)",-1.07149502078608,0.864074404081524,1.2400494861609,0.2149571
"psi(PAR_100)",2.9170056050102,2.13711863455818,1.36492450996444,0.1722768
"psi(HRB_100m)",-0.257172645142316,0.387577906517713,0.663537938611997,0.5069861
"psi(PAR_1k)",-0.340095990483969,0.453090634936076,0.750613595295235,0.4528852
"p(Int)",-20.2399039475695,2.33501554417971,8.66799537931121,0
"p(DAY)",0.115344515359052,0.0158575114573786,7.27380936593186,0
"p(EFFORT_HRS)",1.39361772883991,0.381168328392985,3.65617399198783,0.000256
"p(TIME)",-0.121600251821294,0.039410773443692,3.08545712747886,0.0020324
"p(COUNT_TYPEtravelling)",0.859053215544926,0.416591100968168,2.06210169527977,0.0391981
"p(EFFORT_DISTANCE_KM)",0.0862937695355911,0.13493061700508,0.639541798970223,0.5224705
"psi(FOR2_1km)",-0.131860619559454,0.347540131018654,0.379411204032654,0.7043825
"psi(RUR_100m)",0.0834989480768002,0.192640787164994,0.433443764976338,0.6646924
"psi(CR_CL_MN)",-0.0588545833514804,0.179759823595066,0.327406770736817,0.7433602
"psi(SHDI_1k)",0.0666469713793419,0.201411380192531,0.330899730271614,0.7407202
"psi(BAR_100m)",-0.0337906719873277,0.107144671308973,0.315374265229539,0.7524775
"psi(FOR1_1km)",-0.0409181380361677,0.206086589806491,0.198548280480494,0.8426161
"psi(WET_100m)",0.0106168396091046,0.0585426548874279,0.181352206002952,0.8560911
"psi(RHU100)",-0.00617826149640829,0.0501780082351328,0.123126877963293,0.9020066
"psi(FOR1_100m)",-0.00471288082566461,0.0547276723996228,0.086115133697831,0.9313749
