"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.16266901196354,0.240498062296627,0.676383877733312,0.498797
"psi(CR_CL_MN)",0.517248329515182,0.160661519486749,3.219491083911,0.0012842
"psi(FOR1_1km)",0.695568969956764,0.239773150367765,2.90094603540846,0.0037204
"psi(RLU1KM)",0.192809581755973,0.065459038695316,2.9454997445566,0.0032243
"psi(HRB_1km)",0.344888461998999,0.313395157252431,1.10049071920151,0.2711184
"psi(WAT_100m)",-0.174558626849947,0.130576732548961,1.33682795887464,0.1812788
"psi(RUR_1km)",0.26290401820785,0.181385930759069,1.44941791851023,0.1472209
"psi(WET_1km)",0.183103500559629,0.110433728409287,1.65803965144612,0.0973095
"psi(PAR_1k)",0.146485864671106,0.138155510824607,1.06029693493063,0.2890095
"psi(SAV_100m)",0.0548978073837761,0.105364351781419,0.521028283813323,0.6023471
"psi(SHDI_1k)",-0.176296590567698,0.210042303967799,0.839338491519903,0.4012794
"psi(RHU1KM)",-0.0669505344328462,0.120050276986756,0.557687463230363,0.5770578
"psi(BAR_100m)",0.0389104263722699,0.0691123406982558,0.563002583607358,0.5734331
"psi(RUR_100m)",0.0592064414328805,0.102111039629144,0.579824097843989,0.5620332
"psi(FOR2_1km)",-0.102106832055452,0.155330157676689,0.657353559557844,0.5109536
"p(Int)",-12.5126845516002,160.768397145574,0.0778304988652097,0.9379629
"p(DAY)",0.0437904015502153,0.00311029067112972,14.0791990783002,0
"p(EFFORT_HRS)",0.576793165829187,0.204973748641848,2.81398554522717,0.0048931
"p(TIME)",-0.103254750813976,0.018734966909593,5.51133884101527,0
"p(COUNT_TYPEtravelling)",0.546023366096507,0.222854405187905,2.45013494633913,0.0142803
"p(EFFORT_DISTANCE_KM)",-0.0253279447312062,0.0785448633050795,0.32246468661902,0.7471007
"p(NUMBER_OBSERVERS)",5.95662416744648,160.768002786968,0.0370510553355542,0.9704443
"psi(SHR_1km)",0.263332319280504,0.360901797542069,0.729650894159951,0.4656036
"psi(SHR_100m)",-0.167072029985283,0.264924978267766,0.630639024971133,0.5282766
"psi(FOR2_100m)",-0.0370099724014313,0.105935002992849,0.349364906365553,0.7268154
"psi(CLT_1km)",0.00279036418694224,0.0302016990911585,0.0923909670949313,0.9263874
"psi(WAT_1km)",0.00177065929243224,0.0193748481722281,0.0913895828598186,0.927183
"psi(WET_100m)",0.00133450381429973,0.015084386095851,0.0884692161696115,0.9295038
