"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.59661976478392,0.265650065975137,9.77458731377445,0
"psi(nr_fw)",-1.29289527900282,0.276818525195814,4.6705518645772,3e-06
"psi(WET_100m)",0.250163117107183,0.0893927190505642,2.79847307212661,0.0051345
"psi(BAR_1km)",-0.417732268820514,0.122382049617486,3.41334591246157,0.0006417
"psi(WET_1km)",0.373116296292851,0.111936331293469,3.33329038017721,0.0008583
"psi(SAV_100m)",-1.55678364521381,0.503879166972219,3.08959716387648,0.0020043
"psi(SHDI_100)",0.408458952780301,0.143523663985804,2.84593454094582,0.0044281
"psi(RHU100)",-0.348903515058606,0.137396053041257,2.53939983962885,0.0111043
"psi(RUR_1km)",0.322223288606165,0.124580414396612,2.5864682676391,0.0096965
"psi(FOR2_100m)",-0.169592160139675,0.242193667662013,0.700233667448091,0.4837814
"p(Int)",-2.37356362427936,0.420585080512629,5.64348031886046,0
"p(EFFORT_HRS)",0.987451153718215,0.196691747566114,5.02029783118533,5e-07
"p(COUNT_TYPEtravelling)",0.333624129941682,0.213553868167921,1.56224812410959,0.1182295
"p(DAY)",0.00475957600758676,0.00227343822439944,2.09355853900278,0.0362993
"p(EFFORT_DISTANCE_KM)",-0.10902139965431,0.0742350033603464,1.46859829890632,0.1419418
"p(TIME)",0.00450851775866774,0.0187906003518368,0.239934737275546,0.8103809
"psi(RLU100)",-0.0405439973874461,0.0585378766220771,0.692611343749274,0.4885535
"psi(RLU1KM)",0.0538595850837574,0.0826462542261481,0.651688156808406,0.5146024
"psi(WAT_100m)",0.0424677703407455,0.0768928011338421,0.552298390935515,0.5807439
"psi(CR_CL_MN)",0.0345457869603509,0.105919798467446,0.326150421924833,0.7443105
"psi(FOR2_1km)",-0.0505654980177182,0.123943056994774,0.407973623079591,0.683293
"psi(nr_rd)",-0.081918442964068,0.305928563841108,0.267769841218928,0.7888765
