"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.39410268955478,0.187060578142415,7.45268032098889,0
"psi(WET_100m)",0.466803586173059,0.117088369744637,3.98676305077208,6.7e-05
"psi(WET_1km)",0.374498797835344,0.124528072426662,3.00734437253814,0.0026354
"psi(CLT_100m)",0.296094234511887,0.157389742887513,1.88128037494481,0.0599338
"psi(RUR_100m)",0.194918226770705,0.158636994786593,1.22870599656101,0.2191821
"psi(PAR_1k)",-0.436333280895958,0.180387652509542,2.41886445566377,0.015569
"psi(RUR_1km)",0.185552150143702,0.183741042095207,1.00985685085837,0.3125639
"psi(RLU1KM)",-0.063565076234381,0.0848198426415808,0.749412805479786,0.4536084
"p(Int)",-14.2628967361544,326.652915938923,0.0436637667695617,0.9651724
"p(COUNT_TYPEtravelling)",1.54820295927598,0.330481302265757,4.68469153522939,2.8e-06
"p(DAY)",0.0666293625472655,0.00544361637854025,12.2399077954741,0
"p(TIME)",-0.0738268385533513,0.0282084243053553,2.61719115375528,0.0088657
"p(EFFORT_DISTANCE_KM)",0.193419502651945,0.11330770443164,1.70702869343398,0.0878167
"p(EFFORT_HRS)",-0.0367906872523901,0.309567887050439,0.118845296270655,0.9053979
"p(NUMBER_OBSERVERS)",3.44483892991832,326.652413608191,0.0105458854317553,0.9915858
"psi(WAT_100m)",0.0308664782146869,0.0775855268431138,0.397838095204305,0.6907495
"psi(nr_fw)",-0.018762817398171,0.0690102638284414,0.271884446708031,0.7857109
"psi(FOR1_100m)",-0.0683712426170277,0.195312904810957,0.350060036653514,0.7262936
"psi(CR_CL_MN)",0.0326144236231284,0.109733862193909,0.297213849682026,0.7663032
